,Date,Users Purchased Control,Users Purchased Variant,Users Landed Control,Users Bounced Control,Users Landed Variant,Users Bounced Variant,Users Visited Control,Users Visited Variant,Conversion Rate Control,Conversion Rate Variant,Bounce Rate Control,Bounce Rate Variant
0,2014-10-10,3006.0,2887.0,44008.0,16995.0,43430.0,17885.0,50834.0,50078.0,0.059133650706220245,0.05765006589720037,0.38617978549354665,0.4118121114437025
1,2014-10-11,2337.0,2130.0,46767.0,21293.0,46904.0,22242.0,53197.0,53603.0,0.04393104874335019,0.039736581907729045,0.4552996771227575,0.474202626641651
2,2014-10-12,2842.0,2636.0,45493.0,17654.0,45651.0,18381.0,52704.0,52793.0,0.05392380085003036,0.0499308620461046,0.3880597014925373,0.402641782217257
3,2014-10-13,2820.0,2609.0,46699.0,17419.0,47785.0,19978.0,53702.0,54315.0,0.05251201072585751,0.048034612906195345,0.3730058459495921,0.41808098775766456
4,2014-10-14,2495.0,2188.0,46462.0,19877.0,47594.0,20417.0,53684.0,55016.0,0.046475672453617466,0.039770248654936745,0.427811975377728,0.42898264487120225
5,2014-10-15,2340.0,2236.0,45978.0,21900.0,46746.0,22294.0,52540.0,53567.0,0.04453749524172059,0.04174211734836746,0.4763147592326765,0.47691781114961707
6,2014-10-16,2168.0,2058.0,53154.0,24311.0,52487.0,24985.0,59601.0,59004.0,0.03637522860354692,0.03487899125483018,0.45736915377958387,0.4760226341760817
7,2014-10-17,3087.0,2922.0,46965.0,17059.0,44621.0,17119.0,54047.0,51878.0,0.057116953762466005,0.05632445352557924,0.3632279356967955,0.38365343672261937
8,2014-10-18,6254.0,6204.0,52185.0,14182.0,50776.0,14326.0,60792.0,59821.0,0.10287537833925517,0.10370939970913225,0.27176391683433937,0.28214116905624703
9,2014-10-19,3134.0,3029.0,47651.0,17571.0,47469.0,18291.0,54190.0,54321.0,0.0578335486252076,0.055761123690653704,0.36874357306247507,0.38532515957782976
10,2014-10-20,3071.0,2883.0,47393.0,15887.0,47284.0,17834.0,54351.0,53930.0,0.056503100218947215,0.053458186538104954,0.3352182811807651,0.37716775230521954
11,2014-10-21,2641.0,2650.0,48652.0,20130.0,50182.0,21894.0,55481.0,57113.0,0.04760188172527532,0.0463992436047835,0.41375483022280685,0.436291897493125
12,2014-10-22,2401.0,2295.0,50187.0,21081.0,52525.0,23028.0,56592.0,58679.0,0.04242649137687306,0.039111095962780555,0.4200490166776257,0.43841980009519277
13,2014-10-23,2593.0,2345.0,48681.0,22659.0,46235.0,22127.0,56200.0,53108.0,0.04613879003558719,0.044155306168562176,0.4654588032291859,0.4785768357305072
14,2014-10-24,3207.0,3140.0,45560.0,15838.0,47092.0,16997.0,52453.0,54299.0,0.06114044954530723,0.05782795263264517,0.34762949956101846,0.3609317930858745
15,2014-10-25,2604.0,2279.0,45931.0,18474.0,47390.0,20161.0,52607.0,54553.0,0.049499116087212726,0.041775887668872476,0.40221201367268294,0.42542730533867906
16,2014-10-26,3196.0,2950.0,41020.0,14747.0,40107.0,15910.0,47578.0,46954.0,0.06717390390516625,0.06282744814073349,0.35950755728912726,0.39668885730670456
17,2014-10-27,3047.0,2855.0,46781.0,15995.0,49267.0,18681.0,53675.0,56249.0,0.05676758267349791,0.050756457892584754,0.34191231482866974,0.3791787606308482
18,2014-10-28,3348.0,3285.0,45930.0,16734.0,47195.0,17816.0,52846.0,54009.0,0.06335389622677214,0.06082319613397767,0.3643370346178968,0.3774976162729103
19,2014-10-29,2738.0,2598.0,44908.0,17873.0,46595.0,20343.0,52091.0,53969.0,0.052561862893782035,0.04813874631733032,0.39799144918500046,0.4365919090031119
20,2014-10-30,2740.0,2677.0,40941.0,17153.0,45297.0,19530.0,47662.0,51804.0,0.057488145692585285,0.05167554628986179,0.41896875992281574,0.43115438108484005
